,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
713,La monda molleteria,"PTGE. JOSEP LLOVERA, 1",Sant Gervasi - Galvany,ESPAÑOL,Abierto,No,None,9.4,8,16,2.14849,41.39566
714,La tarantula de Sants,"C. VALLADOLID, 40",Sants,MEXICANO,None,No,None,9.3,77,20,2.13707,41.37804
715,La vianda del Clot,"C. MALLORCA, 601",el Camp de l'Arpa del Clot,MEDITERRANEO,Abierto,Si,5.7,8.1,158,24,2.18607,41.41165
716,LaBRASA,"TRAV. GRACIA, 81",Sant Gervasi - Galvany,BRASILEÑO,None,No,None,0.0,0,15,2.15107,41.3972
717,Lagar,"C. LLENGUADOC, 6",Sant Andreu,MEDITERRANEO,Abierto,No,None,0.0,0,20,2.18907,41.43128
718,Lamun Cuina Thai,"C. VILADOMAT, 73",Sant Antoni,TAILANDES,Abierto,Si,11.4,9.2,889,30,2.15901,41.37829
719,Las Cazuelitas Mexicanas,"C. GRANADA DEL PENEDES, 19",Sant Gervasi - Galvany,MEXICANO,None,No,None,9.3,214,17,2.15246,41.39674
720,Las Corts,"C. PINTOR TAPIRO, 45",la Maternitat i Sant Ramon,MERCADO,None,No,None,9.5,164,32,2.11825,41.37806
721,Las Delicias de Francia,"C. MUNTANER, 443",Sant Gervasi - Galvany,FRANCES,Abierto,No,None,8.5,241,34,2.13989,41.40124
722,Las Planchitas,"C. ENRIC GRANADOS, 26",l'Antiga Esquerra de l'Eixample,MEXICANO,None,Si,4.5,9.5,156,15,2.15932,41.39023
723,Lasarte by Martín Berasategui - Monument Hotel,"C. MALLORCA, 259",la Dreta de l'Eixample,MEDITERRANEO,None,No,None,0.0,0,200,2.16216,41.39369
724,Lascaleta restobar,"AV. VALLCARCA, 156",Vallcarca i els Penitents,ESPAÑOL,Abierto,Si,7.2,8.7,111,15,2.14315,41.41383
725,Last Monkey,"C. COMTE BORRELL, 70",Sant Antoni,ASIATICO,None,No,None,9.2,390,20,2.16035,41.37926
